driver,spec,month,kind,n_files,n_lines,delta_files,delta_lines,commit
PERL,connection-string,2019-02,phase,38,4134,18,1211,e4d2f711
PERL,initial-dns-seedlist-discovery,2018-01,intro,46,392,46,392,0c52b886
PERL,retryable-writes,2018-05,intro,18,2678,18,2678,880e42f6
PERL,retryable-writes,2018-06,phase,36,6062,18,3384,4d21e6f6
PERL,change-streams,2018-06,intro,4,874,4,874,4d21e6f6
PERL,transactions,2018-06,intro,42,22771,42,22771,4d21e6f6
PERL,read-write-concern,2018-11,intro,4,376,4,376,e78f69fe
PERL,auth,2019-05,intro,2,653,2,653,28336beb
PERL,retryable-reads,2019-07,intro,82,22492,82,22492,f5ab951a
PERL,sessions,2019-07,intro,2,795,2,795,f5ab951a
PERL,transactions-convenient-api,2019-07,intro,18,5686,18,5686,f5ab951a
PHPLIB,gridfs,2016-03,intro,8,1974,8,1974,9e443408
PHPLIB,gridfs,2021-04,phase,5,2475,1,1011,df4e32cf
PHPLIB,retryable-writes,2019-05,intro,20,4186,20,4186,cb595b6d
PHPLIB,change-streams,2019-06,intro,4,1547,4,1547,457f8d62
PHPLIB,change-streams,2020-03,phase,4,4239,0,2692,99101b87
PHPLIB,change-streams,2020-07,phase,4,4329,0,2782,b3a4c241
PHPLIB,change-streams,2021-03,phase,4,4329,0,2782,027134d4
PHPLIB,change-streams,2022-04,phase,5,7327,0,2861,ec68b3cb
PHPLIB,command-monitoring,2019-06,intro,10,1649,10,1649,457f8d62
PHPLIB,transactions,2019-06,intro,26,24435,26,24435,457f8d62
PHPLIB,crud,2019-07,intro,5,1280,5,1280,f9452d80
PHPLIB,crud,2020-01,phase,10,2244,5,795,4d891151
PHPLIB,crud,2020-02,phase,16,2946,6,702,8060d725
PHPLIB,crud,2020-04,phase,54,8396,38,5268,63b80602
PHPLIB,crud,2020-07,phase,61,8895,51,6651,b3a4c241
PHPLIB,crud,2021-03,phase,61,8895,56,7446,027134d4
PHPLIB,crud,2021-06,phase,66,16259,12,5443,94f7ce08
PHPLIB,retryable-reads,2019-08,intro,42,18143,42,18143,e0a2b899
PHPLIB,retryable-reads,2024-03,phase,45,27991,3,9802,d2f37660
PHPLIB,transactions-convenient-api,2019-09,intro,9,3776,9,3776,b1647805
PHPLIB,client-side-encryption,2020-01,intro,39,21398,39,21398,4d891151
PHPLIB,client-side-encryption,2021-04,phase,43,32635,4,11237,df4e32cf
PHPLIB,client-side-encryption,2023-03,phase,124,88617,43,38240,446985d7
PHPLIB,read-write-concern,2020-03,intro,4,972,4,972,99101b87
PHPLIB,unified-test-format,2020-10,intro,16,4143,16,4143,6c66a1a2
PHPLIB,versioned-api,2021-04,intro,6,3005,6,3005,df4e32cf
PHPLIB,collection-management,2021-06,intro,1,255,1,255,94f7ce08
PHPLIB,sessions,2021-08,intro,4,1801,4,1801,e7874759
PHPLIB,sessions,2022-02,phase,6,3026,2,1225,103c1f2e
PHPLIB,load-balancers,2021-10,intro,8,3942,8,3942,feccdaaf
PHPLIB,run-command,2023-05,intro,1,573,1,573,bf363313
PHPLIB,index-management,2023-08,intro,5,614,5,614,f6ce2119
PYTHON,server-discovery-and-monitoring,2014-09,intro,37,1544,37,1544,6b6f61f2
PYTHON,server-discovery-and-monitoring,2020-04,phase,140,13500,66,8504,d8342367
PYTHON,crud,2015-03,intro,14,1987,14,1987,22c16c70
PYTHON,crud,2016-11,phase,29,2738,15,751,f2aff0fd
PYTHON,server-selection,2015-03,intro,33,1309,33,1309,22c16c70
PYTHON,server-selection,2025-12,phase,93,4283,25,1500,6585d9cb
PYTHON,connection-string,2015-08,intro,7,1336,7,1336,5c532238
PYTHON,gridfs,2015-08,intro,4,1618,4,1618,5c532238
PYTHON,gridfs,2022-07,phase,5,2475,1,1085,fbb8dde8
PYTHON,command-monitoring,2015-09,intro,9,1504,9,1504,680fee7f
PYTHON,max-staleness,2016-07,intro,29,2016,29,2016,dff826b7
PYTHON,bson-corpus,2016-08,intro,28,4768,28,4768,eb7f2e62
PYTHON,retryable-writes,2017-10,intro,7,1047,7,1047,280efd2d
PYTHON,retryable-writes,2018-06,phase,18,4115,9,2261,35391b7c
PYTHON,auth,2018-04,intro,1,453,1,453,7aeec7b5
PYTHON,read-write-concern,2018-04,intro,2,207,2,207,7aeec7b5
PYTHON,transactions,2018-04,intro,18,7504,18,7504,7aeec7b5
PYTHON,transactions,2018-06,phase,22,15012,4,6559,35391b7c
PYTHON,change-streams,2018-06,intro,2,523,2,523,35391b7c
PYTHON,change-streams,2020-07,phase,4,4329,2,3377,add995fe
PYTHON,uri-options,2019-02,intro,8,491,8,491,1d79cf8f
PYTHON,transactions-convenient-api,2019-03,intro,9,3433,9,3433,244e7ffa
